case-sensitive code,name (display),category,synonyms,LOINC property,Guidance,source
[drp],drop - metric (1/20 mL),Clinical,drop dosing units; metric drops; gtt,Vol,"standard unit used in the US and internationally for clinical medicine but note that although [drp] is defined as 1/20 milliliter, in practice, drop sizes will vary due to external factors",UCUM
[dye'U],Dye unit,Obsolete,units,CCnc,"equivalent to the Somogyi unit, which is an enzyme unit for amylase but better to use U, the standard enzyme unit for measuring catalytic activity",UCUM
[e],elementary charge,Constant,e; q; electric charges,,the magnitude of the electric charge carried by a single electron or proton ≈ 1.60217×10^-19 Coulombs,UCUM
[EID_50],50% embryo infectious dose,Clinical,EID50; 50% embryo infective doses; EID50 Egg Infective Dosage,thresNum,,UCUM
[ELU],ELISA unit,Clinical,Enzyme-Linked Immunosorbent Assay Units; ELU; EL. U,ACnc,,UCUM
[eps_0],permittivity of vacuum - electric,Constant,ε0; Electric Constant; vacuum permittivity; permittivity of free space ,,approximately equal to 8.854 × 10^−12 F/m (farads per meter),UCUM
[EU],Ehrlich units (urobilinogen),Clinical,EU/dL; mg{urobilinogen}/dL,ACnc,,UCUM
[fdr_br],fluid dram - British,Nonclinical,British fluid drams; fdr br,Vol,"equal to 1/8 Imperial fluid ounce = 3.55 mL; used informally to mean small amount of liquor, especially Scotch whiskey",UCUM
[fdr_us],fluid dram - US,Nonclinical,US fluid drams; fdr us,Vol,"equal to 1/8 US fluid ounce = 3.69 mL; used informally to mean small amount of liquor, especially Scotch whiskey",UCUM
[FEU],fibrinogen equivalent units,Clinical,FEU,MCnc,Note both the FEU and DDU units are used to report D-dimer measurements. 1 DDU = 1/2 FFU,UCUM
[FFU],focus forming units (cells),Clinical,FFU,EntNum,,UCUM
[foz_br],fluid ounce - British,Clinical,British fluid ounces; Imperial fluid ounces;  br fozs; imp fozs; br fl ozs,Vol,Used only in Great Britain and other Commonwealth countries,UCUM
[foz_m],fluid ounce - metric,Clinical,metric fluid ounces; fozs m; fl ozs m,Vol,"unit used only in the US for nutritional labelling, as set by the FDA",UCUM
[foz_us],fluid ounce - US,Clinical,US fluid ounces; fl ozs; FO; fl. oz.; foz us,Vol,unit used only in the US,UCUM
[ft_br],foot - British,Obsolete,British Foot; Imperial Foot; feet; imp fts; br fts,Len,,UCUM
[ft_i],foot,Clinical,ft; fts; foot; international foot; feet; international feet; height,Len,unit used in the US and internationally,UCUM
[ft_us],foot - US,Obsolete,US foot; foot US; us ft; ft us; height; visual distance; feet,Len,"Better to use [ft_i] which refers to the length used worldwide, including in the US;  [ft_us] may be confused with land survey units. ",UCUM
[ft_us]/[ft_us],foot per foot - US,Clinical,ft/ft; ft per ft; feet per feet; visual acuity,LenRto,distance ratio to measure 20:20 vision,
[fth_br],fathom - British,Obsolete,British fathoms; imperial fathoms; br fth; imp fth,Len,,UCUM
[fth_i],fathom,Nonclinical,international fathoms,Len,unit used in the US and internationally to measure depth of water; same length as the US fathom,UCUM
[fth_us],fathom - US,Obsolete,US fathoms; fathom USA; fth us,Len,same length as the international fathom - better to use international fathom ([fth_i]),UCUM
[fur_us],furlong - US,Nonclinical,US furlongs; fur us,Len,distance unit in horse racing,UCUM
[G],Newtonian constant of gravitation,Constant,G; gravitational constant; Newton's constant,,gravitational constant = 6.674×10−11 N⋅m2/kg2,UCUM
[g],standard acceleration of free fall,Constant,standard gravity; g; ɡ0; ɡn,Accel,defined by standard = 9.80665 m/s2,UCUM
[gal_br],gallon- British,Nonclinical,"imperial gallons, UK gallons; British gallons; br gal; imp gal",Vol,Used only in Great Britain and other Commonwealth countries,UCUM
[gal_us],gallon - US,Nonclinical,US gallons; US liquid gallon; gal us; Queen Anne's wine gallon,Vol,only gallon unit used in the US; [gal_us] is only used in some other countries in South American and Africa to measure gasoline volume,LOINC
[gal_wi],gallon - historical,Obsolete,"Corn Gallon British;
Dry Gallon US; Gallons Historical; Grain Gallon British; Winchester Corn Gallon; historical winchester gallons; wi gal",Vol,historical unit of dry volume no longer used,UCUM
[gil_br],gill - British,Nonclinical,"imperial gills; British gills; imp gill, br gill",Vol,only used in the context of alcohol volume in Great Britain,UCUM
[gil_us],gill - US,Nonclinical,US gills; gil us,Vol,only used in the context of alcohol volume in the US,UCUM
[GPL'U],GPL unit,Clinical,GPL Units; GPL U; IgG anticardiolipin units; IgG Phospholipid,ACnc; AMass,Units for an antiphospholipid test,UCUM
[GPL'U]/mL,GPL unit per milliliter,Clinical,"GPL U/mL; GPL'U/mL; GPL/mL; GPL U per mL; IgG Phospholipid Units per milliliters; IgG anticardiolipin units; millilitres
",ACnc; AMass,Units for an antiphospholipid test,LOINC
[gr],grain,Nonclinical,gr; grains,Mass,an apothecary measure of mass rarely used today,UCUM
[h],Planck constant,Constant,Planck's constant,,constant = 6.62607004 × 10-34 m2.kg/s; defined as quantum of action,UCUM
[hd_i],hand,Nonclinical,hands; international,Len,used to measure horse height,UCUM
[hnsf'U],Hounsfield unit,Clinical,HU; units,,"used to measure X-ray attenuation, especially in CT scans.",UCUM
[HP],horsepower - mechanical,Nonclinical,imperial horsepowers,EngRat,"refers to mechanical horsepower, which is unit used to measure engine power primarily in the US. ",UCUM
[HPF],high power field (microscope),Clinical,HPF,Area,"area visible under the maximum magnification power of the objective in microscopy (usually 400x)
",UCUM
[in_br],inch - British,Obsolete,imperial inches; imp in; br in; british inches,Len,,UCUM
[in_i],inch,Clinical,inches; in; international inch; body height,Len,standard unit for inch in the US and internationally,UCUM
[in_i'H2O],inch of water column,Clinical,inches WC; inAq; in H2O; inch of water gauge; iwg; pressure,Pres,"unit of pressure, especially in respiratory and ventilation care",UCUM
[in_i'Hg],inch of mercury column,Clinical,inHg; in Hg; pressure; inches,Pres,unit of pressure used in US to measure barometric pressure and occasionally blood pressure (see mm[Hg] for unit used internationally),UCUM
[in_us],inch - US,Obsolete,US inches; in us; us in;  inch US,Len,"Better to use [in_i] which refers to the length used worldwide, including in the US",UCUM
[IR],index of reactivity (allergen),Clinical,IR; indexes,Acnc,amount of an allergen callibrated through in-vivo testing using the Stallergenes method. Usually reported in tests as IR/mL,UCUM
[iU],international unit - arbitrary,Clinical,international units; IE; F2,Arb,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),UCUM
[IU],international unit - arbitrary,Clinical,international units; IE; F2,Arb,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),UCUM
[IU]/(2.h),international unit per 2 hour,Clinical,IU/2hrs; IU/2 hours; IU per 2 hrs; international units per 2 hours,ARat,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/(24.h),international unit per 24 hour,Clinical,IU/24hr; IU/24 hours; IU per 24 hrs; international units per 24 hours,ARat,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/d,international unit per day,Clinical,IU/dy; IU/days; IU per dys; international units per day,ARat,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/dL,international unit per deciliter,Clinical,IU/dL; IU per dL; international units per deciliters; decilitres,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/g,international unit per gram,Clinical,IU/gm; IU/gram; IU per gm; IU per g; international units per gram,ACnt,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/h,international unit per hour,Clinical,IU/hrs; IU per hours; international units per hour,ARat,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/kg,international unit per kilogram,Clinical,IU/kg; IU/kilogram; IU per kg; units,ACnt,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/kg/d,international unit per kilogram per day,Clinical,IU/kg/dy; IU/kg/day; IU/kilogram/day; IU per kg per day; units,ACntRat,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/L,international unit per liter,Clinical,IU/L; IU/liter; IU per liter; units; litre,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/min,international unit per minute,Clinical,IU/min; IU/minute; IU per minute; international units,ARat,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[IU]/mL,international unit per milliliter,Clinical,IU/mL; IU per mL; international units per milliliter; millilitre,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
[k],Boltzmann constant,Constant,k; kB,,physical constant relating energy at the individual particle level with temperature = 1.38064852 ×10^−23 J/K,UCUM
[ka'U],King-Armstrong unit,Obsolete,King-Armstrong Units; King units,AMass,enzyme units for acid phosphatase - better to use enzyme unit [U],UCUM
[kn_br],knot - British,Obsolete,British knots; kn br; kt,Vel,based on obsolete British nautical mile ,UCUM
[kn_i],knot,Nonclinical,kn; kt; international knots,Vel,defined as equal to one nautical mile (1.852 km) per hour,UCUM
[lb_ap],pound - apothecary,Obsolete,apothecary pounds; apothecaries pounds; ap lb; lb ap; ap lbs; lbs ap,Mass,,UCUM
[lb_av],pound,Clinical,"avoirdupois pounds, international pounds; av lbs; pounds",Mass,standard unit used in the US and internationally,UCUM
[lb_tr],pound - troy,Nonclinical,troy pounds; tr lbs,Mass,only used for weighing precious metals,UCUM
[lbf_av],pound force - US,Clinical,lbfs; US lbf; US pound forces,Force,only rarely needed in health care - see [lb_av] which is the more common unit to express weight,UCUM
[lcwt_av],long hundredweight,Obsolete,imperial hundredweights; imp cwt; lcwt; avoirdupois,Mass,,UCUM
[Lf],Limit of flocculation,Clinical,Lf doses,Arb,the antigen content  forming 1:1 ratio against 1 unit of antitoxin,UCUM
[ligne],ligne,Obsolete,Paris lines; lignes,Len,,UCUM
[lk_br],link for Gunter's chain - British,Obsolete,Links for Gunter's Chain British,Len,,UCUM
[lk_us],link for Gunter's chain - US,Obsolete,Links for Gunter's Chain USA,Len,,UCUM
[lne],line,Obsolete,British lines; br L; L; l,Len,,UCUM
[LPF],low power field (microscope),Clinical,LPF; fields,Area,"area visible under the low magnification of the objective in microscopy (usually 100 x)
",UCUM
[lton_av],long ton - British,Nonclinical,imperial tons; weight tons; British long tons; long ton avoirdupois,Mass,Used only in Great Britain and other Commonwealth countries,UCUM
[ly],light-year,Constant,light years; ly,Len,unit of astronomal distance = 5.88×10^12 mi,UCUM
[m/s2/Hz^(1/2)],meter per square seconds per square root of hertz,Constant,m/s2/(Hz^.5); m/s2/(Hz^(1/2)); m per s2 per Hz^1/2,,"measures amplitude spectral density, and is equal to the square root of power spectral density
 ",UCUM
[m_e],electron mass,Constant,electron rest mass; me,Mass,approximately equal to 9.10938356 × 10-31 kg; defined as the mass of a stationary electron,UCUM
[m_p],proton mass,Constant,mp; masses,Mass,approximately equal to 1.672622×10−27 kg,UCUM
[mclg'U],Mac Lagan unit,Obsolete,galactose index; galactose tolerance test; thymol turbidity test unit; mclg U; units; indexes,ACnc,"unit for liver tests - previously used in thymol turbidity tests for liver disease diagnoses, and now is sometimes referred to in the oral galactose tolerance test",UCUM
[mesh_i],mesh,Clinical,meshes,NLen (lineic number),traditional unit of length defined as the number of strands or particles per inch,UCUM
[MET],Metabolic Equivalent of Task ,Clinical,metabolic equivalents,RelEngRat,unit used to measure rate of energy expenditure per power in treadmill and other functional tests,UCUM
[mi_br],mile - British,Obsolete,"imperial miles; British miles; English statute miles; imp mi, br mi",Len,,UCUM
[mi_i],mile,Clinical,international miles; mi I; statute mile,Len,standard unit used in the US and internationally,UCUM
[mi_us],mile - US,Nonclinical,U.S. Survey Miles; US statute miles; survey mi; US mi; distance,Len,"Better to use [mi_i] which refers to the length used worldwide, including in the US",UCUM
[mil_i],mil,Clinical,"thou, thousandth; mils; international",Len,equal to 0.001 international inch,UCUM
[mil_us],mil - US,Obsolete,"thou, thousandth; mils",Len,better to use [mil_i] which is based on the internationally recognized inch,UCUM
[min_br],minim - British,Obsolete,min br; br min; ♏ br,Vol,,UCUM
[min_us],minim - US,Obsolete,min US; US min; ♏ US,Vol,,UCUM
[MPL'U],MPL unit,Clinical,"MPL units; MPL U; MPL'U; IgM anticardiolipin units; IgM Phospholipid Units
",ACnc,units for antiphospholipid test,UCUM
[MPL'U]/mL,MPL unit per milliliter,Clinical,"MPL/mL; MPL U/mL; MPL'U/mL; IgM anticardiolipin units; IgM Phospholipid Units; millilitre
",ACnc,"units for antiphospholipid test
",LOINC
[mu_0],permeability of vacuum - magnetic,Constant,μ0; vacuum permeability; permeability of free space; magnetic constant,,equal to 4π×10^−7 N/A2 (Newtons per square ampere) ≈ 1.2566×10^−6 H/m (Henry per meter),UCUM
[nmi_br],nautical mile - British,Obsolete,British nautical miles; Imperial nautical miles; Admiralty miles; n.m. br; imp nm,Len,,UCUM
[nmi_i],nautical mile,Nonclinical,nautical mile; nautical miles; international nautical mile; international nautical miles; nm; n.m.; nmi,Len,standard unit used in the US and internationally,UCUM
[oz_ap],ounce - apothecary,Obsolete,apothecary ounces; oz ap; ap ozs; ozs ap,Mass,,UCUM
[oz_av],ounce,Clinical,ounces; international ounces; avoirdupois ounces; av ozs,Mass,standard unit used in the US and internationally,UCUM
[oz_m],ounce - metric,Clinical,metric ounces; m ozs,Mass,see [oz_av] (the avoirdupois ounce) for the standard ounce used internationally; [oz_m] is equal to 28 grams and is based on the apothecaries' system of mass units which is used in some US pharmacies. ,UCUM
[oz_tr],ounce - troy,Nonclinical,troy ounces; tr ozs,Mass,unit of mass for precious metals and gemstones only,UCUM
[pc_br],pace - British,Nonclinical,British paces; br pc,Len,"traditional unit of length equal to 152.4 centimeters, or 1.52 meter. ",UCUM
[pca],pica (typography),Nonclinical,picas,Len,typography unit for typesetter's length,UCUM
[pca_pr],Printer's pica  (typography),Nonclinical,pca pr; Printer's picas,Len,typography unit for typesetter's length,UCUM
[p'diop],prism diopter (magnifying power),Clinical,diopters; dioptres; p diops; pdiop; dpt; pdptr; Δ; cm/m; centimeter per meter; centimetre; metre,Angle,unit for prism correction in eyeglass prescriptions,UCUM
[PFU],plaque forming units,Clinical,PFU,ACnc,tests usually report unit as number of PFU per unit volume,UCUM
[pH],pH,Clinical,pH scale,LogCnc,Log concentration of H+,UCUM
[pi],the number pi,Constant,π,,a mathematical constant; the ratio of a circle's circumference to its diameter ≈ 3.14159,UCUM
[pied],pied,Obsolete,pieds du roi; Paris foot; royal; French; feet,Len,,UCUM
[pk_br],peck - British,Nonclinical,imperial pecks; British pecks; br pk; imp pk,Vol,unit of dry volume rarely used today (can be used to measure volume of apples),UCUM
[pk_us],peck - US,Nonclinical,US pecks; US pk,Vol,unit of dry volume rarely used today (can be used to measure volume of apples),UCUM
[pnt],point (typography),Nonclinical,DTP points; desktop publishing point; pt; pnt,Len,typography unit for typesetter's length,UCUM
[pnt_pr],Printer's point (typography),Nonclinical,pnt pr,Len,typography unit for typesetter's length,UCUM
[PNU],protein nitrogen unit (allergen testing),Clinical,protein nitrogen units; PNU,Mass,defined as 0.01 ug of phosphotungstic acid-precipitable protein nitrogen. Being replaced by bioequivalent allergy units (BAU).,UCUM
[pouce],pouce,Obsolete,historical French inches; French royal inches,Len,,UCUM
